listing_id,status,property_type,title,price_usd,price_period,bedrooms,bathrooms,area_sqm,furnished,community_id,district_id,governorate_id,agency,agent_name,listing_url,scraped_at_utc
GOLD-GM286R,buy,Land,Land for sale in Zaarour,95000,USD,,,633,no,1087,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM286R/land-for-sale-zaarour-lebanon-GOLD-GM286R,1770714887
GOLD-GM290R,buy,Land,Land for sale in Beit El Chaar,735200,USD,,,1838,no,175,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM290R/land-for-sale-beit-el-chaar-lebanon-GOLD-GM290R,1770714887
GOLD-GM167R,buy,Land,Land for sale in Baskinta,125000,USD,,,1047,no,1155,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM167R/land-for-sale-baskinta-lebanon-GOLD-GM167R,1770714887
GOLD-GM160R,buy,Apartment,Apartment for sale in Zalka,225000,USD,3,3,150,no,1086,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM160R/apartment-for-sale-zalka-lebanon-GOLD-GM160R,1770714887
GOLD-GM165R,buy,Apartment,Apartment for sale in Tilal Ain Saadeh,130000,USD,3,3,132,yes,2055,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM165R/apartment-for-sale-tilal-ain-saade-lebanon-GOLD-GM165R,1770714887
GOLD-GM155R,buy,Apartment,Apartment for sale in Tilal Ain Saadeh,247000,USD,3,3,190,no,2055,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM155R/apartment-for-sale-tilal-ain-saade-lebanon-GOLD-GM155R,1770714887
GOLD-GM112R,commercial_buy,Shop,Store for sale in Baouchriyeh,1000000,USD,10,2,840,no,360,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/commercial-properties-lebanon/GOLD-GM112R/shop-commercial-for-sale-baouchriyeh-lebanon-GOLD-GM112R,1770714887
GOLD-GM230R,commercial_buy,Shop,Store for sale in Zalka,90000,USD,2,1,40,no,1086,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/commercial-properties-lebanon/GOLD-GM230R/shop-commercial-for-sale-zalka-lebanon-GOLD-GM230R,1770714887
GOLD-GM221R,buy,Apartment,Apartment for sale in Monteverde,420000,USD,3,3,210,no,324,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM221R/apartment-for-sale-monteverde-lebanon-GOLD-GM221R,1770714887
GOLD-GM158R,buy,Apartment,Apartment for sale in Jal El Dib,350000,USD,3,3,250,yes,939,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM158R/apartment-for-sale-jal-el-dib-lebanon-GOLD-GM158R,1770714887
GOLD-GM282R,buy,Apartment,Apartment for sale in Fanar,500000,USD,4,4,250,no,66,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM282R/apartment-for-sale-fanar-lebanon-GOLD-GM282R,1770714887
GOLD-GM276R,buy,Apartment,Apartment for sale in Fanar,500000,USD,4,4,385,no,66,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM276R/apartment-for-sale-fanar-lebanon-GOLD-GM276R,1770714887
GOLD-GM257R,buy,Apartment,Apartment for sale in Fanar,285000,USD,3,4,175,no,66,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM257R/apartment-for-sale-fanar-lebanon-GOLD-GM257R,1770714887
GOLD-GM210R,buy,Apartment,Apartment for sale in Fanar,280000,USD,3,3,180,no,66,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM210R/apartment-for-sale-fanar-lebanon-GOLD-GM210R,1770714887
GOLD-GM232R,buy,Apartment,Apartment for sale in Dekweneh,220000,USD,3,3,155,no,285,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM232R/apartment-for-sale-dekwaneh-lebanon-GOLD-GM232R,1770714887
GOLD-GM227R,buy,Apartment,Apartment for sale in Dekweneh,200000,USD,3,3,200,yes,285,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM227R/apartment-for-sale-dekwaneh-lebanon-GOLD-GM227R,1770714887
GOLD-GM225R,buy,Apartment,Apartment for sale in Dekweneh,110000,USD,3,3,130,yes,285,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM225R/apartment-for-sale-dekwaneh-lebanon-GOLD-GM225R,1770714887
GOLD-GM170R,buy,Apartment,Apartment for sale in Bourj Hammoud,100000,USD,2,2,70,no,502,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM170R/apartment-for-sale-bourj-hammoud-lebanon-GOLD-GM170R,1770714888
GOLD-GM280R,buy,Apartment,Apartment for sale in Biakout,150000,USD,2,2,103,yes,139,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM280R/apartment-for-sale-biaqout-lebanon-GOLD-GM280R,1770714888
GOLD-GM272R,buy,Apartment,Apartment for sale in Beit El Chaar,145000,USD,3,2,144,yes,175,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM272R/apartment-for-sale-beit-el-chaar-lebanon-GOLD-GM272R,1770714888
GOLD-GM154R,buy,Apartment,Apatment for sale in Dbayeh,391000,USD,3,3,230,no,1230,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM154R/apartment-for-sale-dbayeh-lebanon-GOLD-GM154R,1770714888
GOLD-GM141R,commercial_buy,Show Room,Showroom for sale in Sed El Baouchriyeh,125000,USD,3,1,140,no,430,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/commercial-properties-lebanon/GOLD-GM141R/show_room-commercial-for-sale-sad-el-baouchriyeh-lebanon-GOLD-GM141R,1770714888
GOLD-GM111R,commercial_buy,Warehouse,Depot for sale in Baouchriyeh,550000,USD,10,2,500,no,360,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/commercial-properties-lebanon/GOLD-GM111R/warehouse-commercial-for-sale-baouchriyeh-lebanon-GOLD-GM111R,1770714888
GOLD-GM113R,commercial_buy,Warehouse,Depot for sale in Jdeideh,325000,USD,10,2,500,no,211,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/commercial-properties-lebanon/GOLD-GM113R/warehouse-commercial-for-sale-jdeideh-lebanon-GOLD-GM113R,1770714888
GOLD-GM152R,commercial_buy,Warehouse,Depot for sale in Sin El Fil,250000,USD,10,2,510,no,686,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/commercial-properties-lebanon/GOLD-GM152R/warehouse-commercial-for-sale-sin-el-fil-lebanon-GOLD-GM152R,1770714888
GOLD-GM266R,commercial_buy,Show Room,Depot for sale in Jdeideh,410000,USD,10,2,500,no,211,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/commercial-properties-lebanon/GOLD-GM266R/show_room-commercial-for-sale-jdeideh-lebanon-GOLD-GM266R,1770714888
GOLD-GM115R,commercial_buy,Shop,Store for sale in Fanar,190000,USD,3,1,165,no,66,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/commercial-properties-lebanon/GOLD-GM115R/shop-commercial-for-sale-fanar-lebanon-GOLD-GM115R,1770714888
GOLD-GM127R,buy,Apartment,Apartment for sale in Tilal Ain Saadeh,230000,USD,3,3,177,no,2055,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM127R/apartment-for-sale-tilal-ain-saade-lebanon-GOLD-GM127R,1770714888
GOLD-GM237R,buy,Apartment,Apartment for sale in Fanar,180000,USD,2,2,129,no,66,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM237R/apartment-for-sale-fanar-lebanon-GOLD-GM237R,1770714888
GOLD-GM219R,buy,Apartment,Apartment for sale in Roumieh,315000,USD,2,3,260,yes,1047,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM219R/apartment-for-sale-roumieh-lebanon-GOLD-GM219R,1770714888
GOLD-GM183R,buy,Apartment,Apartment for sale in Naccache,170000,USD,3,2,190,no,1265,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM183R/apartment-for-sale-naqqache-lebanon-GOLD-GM183R,1770714888
GOLD-GM246R,buy,Apartment,Apartment for sale in Nabay,290000,USD,3,3,180,no,1195,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM246R/apartment-for-sale-nabay-lebanon-GOLD-GM246R,1770714888
GOLD-GM228R,buy,Apartment,Apartment for sale in Dekweneh,325000,USD,2,3,140,no,285,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM228R/apartment-for-sale-dekwaneh-lebanon-GOLD-GM228R,1770714888
GOLD-GM253R,buy,Apartment,Apartment for sale in Dekweneh,560000,USD,4,3,260,no,285,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM253R/apartment-for-sale-dekwaneh-lebanon-GOLD-GM253R,1770714888
GOLD-GM209R,buy,Duplex,Duplex for sale in Fanar,300000,USD,4,4,230,no,66,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM209R/duplex-for-sale-fanar-lebanon-GOLD-GM209R,1770714888
